
Request,ATL08-photon-response.dap,https://opendap.uat.earthdata.nasa.gov/collections/C1241426826-NSIDC_CUAT/granules/ATL03_20200101145654_00900605_005_01.h5.dap?dap4.ce=/gt3r_geolocation_delta_time;/gt3r_geolocation_reference_photon_lat;/gt3r_geolocation_reference_photon_lon;/gt3r_geolocation_reference_photon_index;/gt3r_geolocation_segment_ph_cnt;/gt3r_geolocation_ph_index_beg;/gt3r_geolocation_segment_id
Connect (s),TTFB (s),Total time(s),Response size (bytes)
0.056215,5.450187,7.501923,5302876
0.054715,5.663892,7.710759,5302876
0.055104,5.473326,7.504898,5302876
0.055112,5.372084,7.383846,5302876
0.056072,5.470878,7.563971,5302876
0.055208,5.266938,7.315821,5302876
0.055622,3.271014,5.288045,5302876
0.055862,5.587450,7.650688,5302876
0.055740,3.024568,5.066922,5302876
0.222483,3.354659,5.377032,5302876
0.054923,3.082547,5.114840,5302876
0.055005,3.192215,5.225148,5302876
0.055555,3.245949,5.261447,5302876
0.055259,3.016472,5.041420,5302876
0.059155,3.249221,5.309930,5302876
0.055278,3.139938,5.170802,5302876
0.055503,3.296463,5.320147,5302876
0.056120,3.251838,5.282183,5302876
0.055991,3.417579,5.467293,5302876
0.055929,3.496916,5.544312,5302876
