1692903636,184,info,request size: 203KB,memory used by process: 7643008KB
1692903677,184,info,request size: 203KB,memory used by process: 7643008KB
1692903692,184,info,request size: 43KB,memory used by process: 7643008KB
1692903694,184,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL13/005/2020/01/ATL13_20200101002212_00810601_005_01.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL13/005/2020/01/ATL13_20200101002212_00810601_005_01.h5?A-userid=jhrguat'(trusted)
1692903727,184,info,request size: 43KB,memory used by process: 7643008KB
1692903746,184,info,request size: 43KB,memory used by process: 7643008KB
1692903781,184,info,request size: 43KB,memory used by process: 7643008KB
1692903791,184,info,request size: 43KB,memory used by process: 7643008KB
1692903807,184,info,request size: 43KB,memory used by process: 7643008KB
1692903834,184,info,request size: 136KB,memory used by process: 7643008KB
1692903851,184,info,request size: 136KB,memory used by process: 7643008KB
1692903868,184,info,request size: 136KB,memory used by process: 7643008KB
1692903895,184,info,request size: 136KB,memory used by process: 7643008KB
1692903911,184,info,request size: 136KB,memory used by process: 7643008KB
1692903926,184,info,request size: 136KB,memory used by process: 7643008KB
1692903937,184,info,request size: 4955KB,memory used by process: 7643008KB
1692903939,184,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL03/005/2020/01/01/ATL03_20200101145654_00900605_005_01.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL03/005/2020/01/01/ATL03_20200101145654_00900605_005_01.h5?A-userid=jhrguat'(trusted)
1692903984,184,info,request size: 4955KB,memory used by process: 7643008KB
1692904012,184,info,request size: 4955KB,memory used by process: 7643008KB
1692904038,184,info,request size: 4955KB,memory used by process: 7643008KB
1692904082,184,info,request size: 4955KB,memory used by process: 7643008KB
1692904200,184,info,request size: 4955KB,memory used by process: 7643008KB
1692904267,184,info,request size: 324KB,memory used by process: 7643008KB
1692904283,184,info,request size: 324KB,memory used by process: 7643008KB
1692904293,184,info,request size: 324KB,memory used by process: 7643008KB
1692904314,184,info,request size: 324KB,memory used by process: 7643008KB
1692904340,184,info,request size: 324KB,memory used by process: 7643008KB
1692904350,184,info,request size: 324KB,memory used by process: 7643008KB
1692899668,22196,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://archive.podaac.sit.earthdata.nasa.gov/podaac-sit-cumulus-protected/H09-AHI-L3C-ACSPO-v2.90/20230821130000-STAR-L3C_GHRSST-SSTsubskin-AHI_H09-ACSPO_V2.90-v02.0-fv01.0.nc(trusted)' CURLINFO_EFFECTIVE_URL: 'https://podaac-sit-cumulus-protected.s3.us-west-2.amazonaws.com/H09-AHI-L3C-ACSPO-v2.90/20230821130000-STAR-L3C_GHRSST-SSTsubskin-AHI_H09-ACSPO_V2.90-v02.0-fv01.0.nc?A-userid=podaaccloud'(trusted)
1692900040,22196,info,request size: 3322371KB,memory used by process: 6897652KB
1692900353,22196,info,BESUtil::file_to_stream() - Using ostream: 0x7ffce9679f70 cout: 0x6123c0
1692900354,22196,info,BESUtil::file_to_stream() - Sent 36073389 bytes from file '/tmp/hyrax_fonc/dap4_nc_bes_util_TKLUhS_#20230821130000-STAR-L3C_GHRSST-SSTsubskin-AHI_H09-ACSPO_V2.90-v02.0-fv01.0.nc.dmrpp_3ovnSi'. 
