1692992979,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/stare/service/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992980,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/service/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992981,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ff/Service/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992981,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/Service/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992982,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/dated/Service/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992984,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/SERVICE/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992984,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/stare/SERVICE/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992985,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/dmrpp/SERVICE/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992986,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/dated/SERVICE/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992987,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/gdal/WebService/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992991,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/dmrpp/WebService/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992992,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/dated/WebService/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993033,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dmrpp/ws/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993034,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ff/ws/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993035,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/ws/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993037,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/WS/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993037,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ugrids/WS/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993038,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/WS/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993039,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/WS/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993040,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/wsdl/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993041,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/wsdl/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993042,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/wsdl/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993043,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/dmr-testsuite/wsdl/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993044,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/WSDL/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993045,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/dmrpp/WSDL/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993046,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/WSDL/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993100,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/D4-xml/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993103,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993104,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/stare/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993110,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/api.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993110,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/gdal/api.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993110,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/dmrpp/api.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993112,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/service.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993112,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/service.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993113,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/service.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993113,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/service.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993114,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/gdal/ws.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993114,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/stare/ws.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993115,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/ws.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993116,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993130,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993133,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993358,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/dmrpp/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993373,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/dmr-testsuite/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993725,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dmrpp/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993784,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993797,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692993799,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692994051,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ugrids/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692994224,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692994402,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692994444,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/stare/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692994462,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/D4-xml/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692994671,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692994881,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ugrids/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995072,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995078,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/dmrpp/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995149,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995777,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/###4444#333 + #_QUALYS###/###8888#111 + #_QUALYS###' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995777,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/###4444#333 + #_QUALYS###/###8888#111 + #_QUALYS###/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995778,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/###4444#333 + #_QUALYS###/###8888#111 + #_QUALYS###/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995778,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/dated/###4444#333 + #_QUALYS###/###8888#111 + #_QUALYS###/' (BESUtil.cc:298), current memory usage is 7643008 KB.
