1692824540,61,info,DmrppRequestHandler::DmrppRequestHandler() - Concurrent Compute Threads: Enabled. max_compute_threads: 512
1692824540,61,info,DmrppRequestHandler::DmrppRequestHandler() - Concurrent Transfer Threads: Enabled. max_transfer_threads: 16
1692890139,187,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL08/005/2020/01/01/ATL08_20200101145654_00900605_005_01.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL08/005/2020/01/01/ATL08_20200101145654_00900605_005_01.h5?A-userid=jhrguat'(trusted)
1692892553,187,info,request size: 17KB,memory used by process: 1934832KB
1692892555,187,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL06/005/2020/01/01/ATL06_20200101223747_00950603_005_01.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL06/005/2020/01/01/ATL06_20200101223747_00950603_005_01.h5?A-userid=jhrguat'(trusted)
1692892796,187,info,request size: 17KB,memory used by process: 1934832KB
1692892854,187,info,request size: 17KB,memory used by process: 1934832KB
1692892883,187,info,request size: 41KB,memory used by process: 1934832KB
1692892885,187,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL07/005/2020/01/01/ATL07-01_20200101015629_00820601_005_01.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL07/005/2020/01/01/ATL07-01_20200101015629_00820601_005_01.h5?A-userid=jhrguat'(trusted)
1692892978,187,info,request size: 41KB,memory used by process: 1937336KB
1692893016,187,info,request size: 11KB,memory used by process: 1937908KB
1692893030,187,info,request size: 11KB,memory used by process: 1937908KB
1692893056,187,info,request size: 11KB,memory used by process: 1937908KB
1692893104,187,info,request size: 20KB,memory used by process: 1937908KB
1692893107,187,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL10/005/2020/01/01/ATL10-01_20200101002212_00810601_005_02.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL10/005/2020/01/01/ATL10-01_20200101002212_00810601_005_02.h5?A-userid=jhrguat'(trusted)
1692893150,187,info,request size: 20KB,memory used by process: 1938520KB
1692893186,187,info,request size: 20KB,memory used by process: 1938688KB
1692893234,187,info,request size: 203KB,memory used by process: 1938776KB
1692893236,187,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL12/005/2020/01/ATL12_20200101002212_00810601_005_02.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL12/005/2020/01/ATL12_20200101002212_00810601_005_02.h5?A-userid=jhrguat'(trusted)
1692893298,187,info,request size: 203KB,memory used by process: 1938776KB
1692893323,187,info,request size: 43KB,memory used by process: 1938776KB
1692893325,187,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL13/005/2020/01/ATL13_20200101002212_00810601_005_01.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL13/005/2020/01/ATL13_20200101002212_00810601_005_01.h5?A-userid=jhrguat'(trusted)
1692893378,187,info,request size: 43KB,memory used by process: 1939760KB
1692893401,187,info,request size: 43KB,memory used by process: 1939760KB
1692893454,187,info,request size: 136KB,memory used by process: 1939760KB
1692893479,187,info,request size: 136KB,memory used by process: 1939760KB
1692893503,187,info,request size: 136KB,memory used by process: 1939760KB
1692893540,187,info,request size: 4955KB,memory used by process: 1939760KB
