1692993044,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/WSDL/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993045,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/WSDL/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993100,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993109,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/api.jsp' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993111,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/D4-xml/api.jsp' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993111,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/api.jsp' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993112,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ugrids/service.jsp' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993113,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/D4-xml/service.jsp' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993114,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/ws.jsp' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993115,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/ws.jsp' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993137,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/dated/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993459,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/D4-xml/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993538,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993776,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/gdal/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993779,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993881,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/stare/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692994042,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/dated/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692994361,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ff/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692994381,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692994390,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692994402,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692994857,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995012,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/gdal/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995073,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995075,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995085,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ff/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995777,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/###4444#333 + #_QUALYS###/###8888#111 + #_QUALYS###/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995777,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/###4444#333 + #_QUALYS###/###8888#111 + #_QUALYS###/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995778,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/###4444#333 + #_QUALYS###/###8888#111 + #_QUALYS###/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995782,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/axis2-admin/login' (BESUtil.cc:298), current memory usage is 7264856 KB.
