
Request,ATL03-photon-response.dap,https://opendap.uat.earthdata.nasa.gov/collections/C1241426826-NSIDC_CUAT/granules/ATL03_20200101145654_00900605_005_01.h5.dap?dap4.ce=/gt3r_heights_delta_time%5B6710118:149:8209976%5D;/gt3r_heights_lat_ph%5B6710118:149:8209976%5D;/gt3r_heights_lon_ph%5B6710118:149:8209976%5D;/gt3r_heights_h_ph%5B6710118:149:8209976%5D;/gt3r_heights_signal_conf_ph%5B6710118:149:8209976%5D%5B0:1:4%5D
Connect (s),TTFB (s),Total time(s),Response size (bytes)
0.101235,24.231765,25.543113,557634
0.197409,4.000499,5.108597,557634
0.100590,4.007345,5.096312,557634
0.100283,4.122919,5.362550,557634
0.102884,3.913821,4.929079,557634
0.100652,3.854040,4.880458,557634
0.100478,3.709898,4.857880,557634
0.100894,4.564169,5.552125,557634
0.100523,4.054216,5.085051,557634
0.100300,3.999062,4.990456,557634
0.198340,4.035627,5.043775,557634
0.100060,4.204158,5.344122,557634
0.105276,3.754088,4.748709,557634
0.100784,3.974275,5.040001,557634
0.100699,3.890968,4.929701,557634
0.100507,3.894702,5.071451,557634
0.100456,3.934711,5.002143,557634
0.100751,4.292729,5.340500,557634
0.100994,3.809942,4.879389,557634
0.101136,3.783719,4.953540,557634
